,diff_name,auprc_mean_UR,auprc_std_UR,auprc_mean_DR,auprc_std_DR
0,PRJEB10930_3_T-PRJEB10930_3_C.csv,0.8546802909047558,0.015304880293660983,0.8064235361308978,0.02163834535871502
1,GSE81202_14-GSE81202_12.csv,0.833632040218926,0.010368925705219533,0.8337230878212871,0.01841629500698451
2,GSE81202_18-GSE81202_16.csv,0.8345708037708797,0.013074506911584093,0.8302589123782663,0.006383524769228363
3,GSE63406_6-GSE63406_4.csv,0.8197479680518305,0.014696837728430223,0.8537114863527698,0.017105360070650697
4,GSE67332_5-GSE67332_4.csv,0.7809412449990883,0.008770397872097118,0.8267569227272984,0.006853584383134162
5,PRJNA324514_11-PRJNA314076_1.csv,0.8147909659348249,0.01068051805260554,0.7941720613865686,0.006041733684491817
6,GSE69510_4-GSE69510_3.csv,0.8681203939659369,0.018918419400057545,0.7958832880361706,0.035839339585333925
7,GSE63406_3-GSE63406_1.csv,0.8476729643510451,0.01617443663110586,0.835989848015046,0.008470159872655073
8,PRJNA324514_6-PRJNA314076_1.csv,0.8065564782893974,0.020087301355770866,0.8265567261664242,0.013469441065253097
9,GSE80565_3-GSE80565_4.csv,0.8453831714920337,0.01842995990607926,0.7561778931481131,0.024620303280423844
10,GSE59699_11-GSE59699_12.csv,0.8416764130700833,0.015078782660156876,0.8126116118570217,0.017401725636839192
11,GSE67332_3-GSE67332_2.csv,0.8165924728374033,0.013177528607679805,0.802962424010385,0.005451227266154426
12,GSE81202_17-GSE81202_15.csv,0.8131525635877651,0.006666001147533307,0.8154259918322062,0.010142248594256453
13,PRJNA324514_14-PRJNA324514_13.csv,0.7974912185089131,0.01860547548759017,0.8238619634326092,0.013119997974638562
14,GSE81202_10-GSE81202_8.csv,0.8211692906278374,0.017619409262769493,0.884217825520904,0.02191439362417974
15,GSE59699_3-GSE59699_4.csv,0.887887891435747,0.028656074567519854,0.855697127583315,0.01574677788399331
16,GSE67332_2-GSE67332_1.csv,0.7649474088580294,0.010938407163975084,0.8351695876291843,0.018120784739488652
17,GSE60865_3-GSE60865_2.csv,0.8765285655971233,0.011208861994150165,0.86343525498496,0.0168252687511182
18,PRJEB10930_4_T-PRJEB10930_4_C.csv,0.8361757840450924,0.03011124582746936,0.8350665832216564,0.034207494786992795
19,GSE80565_5-GSE80565_6.csv,0.8363443305794889,0.013103171190447316,0.8132002610660296,0.026296269666401965
20,GSE67332_6-GSE67332_5.csv,0.8051612843080426,0.010115959001301517,0.7983491341413845,0.015280452839049222
21,PRJNA324514_15-PRJNA324514_14.csv,0.8266398551892266,0.018321128320575895,0.8440831807555421,0.018883781581648124
22,PRJNA324514_4-PRJNA324514_3.csv,0.8435217704935859,0.02596401511463969,0.8317773467906161,0.018237692316512427
23,GSE59699_15-GSE59699_16.csv,0.856984509409289,0.019428703896273235,0.8150824253041267,0.01013367336855801
24,GSE80565_7-GSE80565_8.csv,0.8224541390255945,0.013128559243110408,0.7640443098406005,0.028288163973535833
25,GSE59699_7-GSE59699_8.csv,0.8672053934171393,0.018195210683111866,0.8402371788337986,0.010320312135845531
26,GSE69510_2-GSE69510_1.csv,0.863913924358928,0.030634881171106864,0.826971638667721,0.014805768056458706
27,GSE80565_13-GSE80565_14.csv,0.7884504194438756,0.02089798043596462,0.7877762885285744,0.016149811024598684
28,GSE59699_17-GSE59699_18.csv,0.870049917071696,0.021256733086738453,0.8144607845633578,0.010895375249250615
29,GSE80565_11-GSE80565_12.csv,0.810394476747145,0.028389186489955774,0.7962584602422595,0.03125436111309579
30,GSE59699_14-GSE59699_13.csv,0.7941957550634913,0.011980596827899174,0.8595304833288694,0.012203321704456881
31,GSE69077_2-GSE69077_1.csv,0.8384305891408722,0.01278083079946107,0.8278577870718513,0.013981897852309593
32,GSE72806_4-GSE72806_1.csv,0.8176907228649555,0.011405348819068946,0.8508898083178529,0.003985565434927649
33,GSE63406_5-GSE63406_3.csv,0.8057216427242775,0.004852170081654237,0.8636775450918552,0.010238120613314545
34,PRJNA324514_12-PRJNA324514_11.csv,0.8269885259475753,0.025104696210171747,0.8375566793640579,0.020120705573455053
35,PRJNA324514_10-PRJNA324514_9.csv,0.8095202392362995,0.030172836056275142,0.8241795378367858,0.01651172446493289
36,GSE72806_3-GSE72806_1.csv,0.7927620393807115,0.012540601877506084,0.8279017659238139,0.0089264581589238
37,GSE80565_9-GSE80565_10.csv,0.8135450027275862,0.01329391521313026,0.7531150728040822,0.05226568933901376
38,PRJNA324514_2-PRJNA324514_1.csv,0.846045527831533,0.014794110908102068,0.8722637494278693,0.019362386578434334
39,GSE60865_2-GSE60865_1.csv,0.8932831800647332,0.01522182185643732,0.807846237734249,0.025173581487473215
40,PRJNA324514_1-PRJNA314076_1.csv,0.8007623233522508,0.021963589255174516,0.8216120896767249,0.005991939133362669
41,GSE81202_13-GSE81202_11.csv,0.828387497400994,0.030504872262859466,0.852086340293661,0.014156977757202215
42,PRJNA324514_3-PRJNA324514_2.csv,0.8559433211650205,0.01579333815562848,0.8512272341721031,0.009539259763735356
43,GSE69077_3-GSE69077_2.csv,0.7902503076461054,0.011938841563886176,0.8311119782358933,0.008542814713601823
